,cancellation_policy_x0_flexible,cancellation_policy_x0_moderate,cancellation_policy_x0_strict_14_with_grace_period,accommodates,room_type_x0_Entire home/apt,availability_90,bedrooms,neighbourhood_group_cleansed_x0_Mitte,guests_included,cleaning_fee,calculated_host_listings_count,bathrooms,neighbourhood_cleansed_x0_Moabit West,neighbourhood_cleansed_x0_Osloer Straße,neighbourhood_cleansed_x0_Parkviertel,property_type_x0_Apartment,neighbourhood_cleansed_x0_Wedding Zentrum,neighbourhood_group_cleansed_x0_Friedrichshain-Kreuzberg,last_reviewYear_is_na,host_listings_count_is_na,host_sinceElapsed,host_sinceYear,last_reviewElapsed,price
31,0.0,1.0,0.0,2,0.0,62,1.0,0.0,1,12.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1423612800,2015.0,1541203200,32.0
32,1.0,0.0,0.0,2,0.0,0,1.0,1.0,1,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1434326400,2015.0,1532563200,22.0
33,0.0,1.0,0.0,2,1.0,51,1.0,0.0,1,10.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1348531200,2012.0,1539648000,49.0
34,1.0,0.0,0.0,2,0.0,35,1.0,1.0,1,26.722821145603326,1,1.5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,1525305600,2018.0,-9223372037,22.0
35,0.0,0.0,1.0,3,0.0,69,1.0,0.0,1,0.0,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1327536000,2012.0,1539734400,27.0
36,1.0,0.0,0.0,3,0.0,35,1.0,0.0,1,10.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1447459200,2015.0,1512259200,35.0
37,0.0,0.0,1.0,2,0.0,0,1.0,0.0,1,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1402272000,2014.0,1533427200,30.0
38,1.0,0.0,0.0,2,1.0,0,1.0,0.0,2,10.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1499558400,2017.0,1522022400,41.0
39,0.0,0.0,1.0,2,1.0,90,1.0,1.0,1,20.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1340064000,2012.0,-9223372037,120.0
40,0.0,1.0,0.0,4,1.0,0,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1387929600,2013.0,1420329600,147.0
41,0.0,0.0,1.0,2,0.0,53,1.0,0.0,2,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1368316800,2013.0,1540339200,38.0
42,0.0,0.0,1.0,2,1.0,0,1.0,0.0,2,26.722821145603326,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1483142400,2016.0,-9223372037,26.0
43,0.0,0.0,1.0,4,1.0,34,1.0,0.0,2,30.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1335916800,2012.0,1541030400,83.0
44,0.0,0.0,1.0,2,0.0,0,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,True,False,1393891200,2014.0,-9223372037,65.0
45,0.0,0.0,1.0,2,0.0,87,1.0,0.0,1,15.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1326240000,2012.0,1495411200,35.0
46,0.0,0.0,1.0,2,1.0,32,0.0,1.0,1,45.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1451260800,2015.0,1540944000,107.0
47,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,10.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1353542400,2012.0,1493596800,50.0
48,0.0,0.0,1.0,4,1.0,16,1.0,0.0,1,30.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1370044800,2013.0,-9223372037,94.0
49,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,26.722821145603326,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1343347200,2012.0,1504396800,50.0
50,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1426636800,2015.0,-9223372037,60.0
51,0.0,1.0,0.0,1,0.0,18,1.0,0.0,1,26.722821145603326,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1371945600,2013.0,1527638400,40.0
52,1.0,0.0,0.0,3,1.0,0,1.0,1.0,2,50.0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,True,False,1514937600,2018.0,-9223372037,65.0
53,0.0,0.0,1.0,3,1.0,0,1.0,0.0,1,15.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1415059200,2014.0,1515715200,39.0
54,0.0,0.0,1.0,4,1.0,0,2.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1426636800,2015.0,1506297600,85.0
55,0.0,1.0,0.0,6,0.0,67,1.0,0.0,1,20.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1359158400,2013.0,1540512000,30.0
56,0.0,0.0,1.0,2,1.0,0,1.0,1.0,2,15.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1389744000,2014.0,-9223372037,65.0
57,1.0,0.0,0.0,2,0.0,35,1.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1435276800,2015.0,1518307200,40.0
58,0.0,1.0,0.0,6,1.0,27,2.0,0.0,4,50.0,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1486944000,2017.0,1536278400,145.0
59,0.0,0.0,1.0,2,0.0,35,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1492560000,2017.0,-9223372037,40.0
60,0.0,0.0,1.0,2,1.0,4,1.0,0.0,1,40.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1453852800,2016.0,1514937600,80.0
